N,churn_rate,batch_index,fr_elapsed_ms,icc_elapsed_ms,speedup_ratio,efficiency_pct,n_affected,n_nodes,n_edges,n_batches_used,is_reduced_batch_count
10000,0.01,0,4519.23859998351,25025.384100008523,0.1805861832898689,-453.752220564319,7455,10000,20234,15,False
10000,0.01,1,4202.088299993193,23207.209799991688,0.1810682256164503,-452.27801376828,7348,10000,20354,15,False
10000,0.01,2,4429.025699995691,22855.23819999071,0.1937860223218978,-416.0330905285319,7355,10000,20475,15,False
10000,0.01,3,4127.591700002085,19825.820099998964,0.2081927344837705,-380.3241585157017,7310,10000,20597,15,False
10000,0.01,4,3842.338899994502,22350.93169999891,0.1719095629465276,-481.7012054827046,7548,10000,20720,15,False
10000,0.01,5,4215.9216000000015,24453.191200009314,0.172407828717194,-480.0200648894729,7417,10000,20843,15,False
10000,0.01,6,3795.242099993629,24677.57349999738,0.153793163659062,-550.2239606806323,7714,10000,20967,15,False
10000,0.01,7,3827.003199985484,21673.6821999948,0.176573743430934,-466.3356173853477,7594,10000,21092,15,False
10000,0.01,8,3896.4629000111017,23412.77789999731,0.1664246300312595,-500.8725990931571,7505,10000,21218,15,False
10000,0.01,9,4402.933600009419,24435.392599989427,0.1801867345487759,-454.97981164051976,7948,10000,21344,15,False
10000,0.01,10,4615.291099995375,23297.76829999173,0.1981001373422111,-404.795207825896,7530,10000,21471,15,False
10000,0.01,11,4442.646600014996,21700.829899986275,0.2047224286117189,-388.4662646790997,7189,10000,21599,15,False
10000,0.01,12,4432.293199992273,23446.964400005527,0.1890348415418427,-429.0030090980083,7853,10000,21728,15,False
10000,0.01,13,4353.354899998521,27234.0282999794,0.1598498338933507,-525.587137404962,7646,10000,21857,15,False
10000,0.01,14,4212.293699994916,24304.1152000078,0.1733160687122469,-476.9805462529152,8163,10000,21987,15,False
10000,0.05,0,4062.7783999952953,28935.245500004385,0.1404093288233784,-612.2033901735298,9840,10000,21212,15,False
10000,0.05,1,4241.355200007092,29714.388399996096,0.1427374221172813,-600.5871236614752,9851,10000,21848,15,False
10000,0.05,2,4335.146099998383,31184.41369998618,0.1390164375609314,-619.3393943516186,9860,10000,22502,15,False
10000,0.05,3,4234.680099994876,29399.412400001893,0.1440396169276704,-594.253443135822,9883,10000,23177,15,False
10000,0.05,4,4104.852199991001,29145.16889999504,0.1408415993084774,-610.0174983172095,9909,10000,23871,15,False
10000,0.05,5,4113.375799992355,27678.607000008924,0.1486120959769047,-572.8927369111368,9916,10000,24586,15,False
10000,0.05,6,4247.45530000655,29198.264400009062,0.1454694444100325,-587.4295863681965,9923,10000,25323,15,False
10000,0.05,7,4169.216599984793,27166.133299993817,0.1534711088230485,-551.5884375038924,9937,10000,26081,15,False
