N,run_idx,seed,n_landmarks,landmark_pct,fr_elapsed_ms,lba_init_ms,lba_elapsed_ms,speedup_ratio,pearson_r,pearson_p,rmse,nrmse,h2_criterion
50000,0,42,2500,5.0,149730.75449999986,19198.875500000213,659.8005999999259,226.93334092150974,0.9997557715459773,0.0,0.00047547367887406213,0.0029399029189735994,MEETS_TARGET
50000,1,43,2500,5.0,148162.4754999998,19479.34219999979,646.2547999999515,229.263249572786,0.9997733678513486,0.0,0.00039699305334603993,0.0026365313506778822,MEETS_TARGET
50000,2,44,2500,5.0,148477.64310000002,20350.598399999853,649.1123999999218,228.73949580999826,0.9997948260865767,0.0,0.00039283655749806586,0.0022941155751685406,MEETS_TARGET
50000,3,45,2500,5.0,142885.41769999985,19282.316400000127,659.8622000001342,216.53826768675458,0.9997162293262544,0.0,0.000540578851806241,0.0033458909447076613,MEETS_TARGET
50000,4,46,2500,5.0,150180.18660000007,20140.648400000373,644.080699999904,233.16982887396324,0.9997898828879197,0.0,0.00042461689740131396,0.0025629478022316052,MEETS_TARGET
75000,0,42,3750,5.0,416648.9472000003,46461.42869999949,1416.9087000000218,294.0549007850639,0.9998865073185345,0.0,0.0002810067246631795,0.0017887461715778829,MEETS_TARGET
75000,1,43,3750,5.0,397000.4070000005,46325.589000000036,1408.4818000001178,281.86406597512814,0.9998649470559411,0.0,0.00045804036926563266,0.0031082941829082534,MEETS_TARGET
75000,2,44,3750,5.0,402252.11600000056,47394.5819999999,1473.9479999998366,272.907942478327,0.9998535844382634,0.0,0.0005432035127121455,0.0032742939208552785,MEETS_TARGET
75000,3,45,3750,5.0,402300.19979999994,46269.82669999961,1377.3607000002812,292.08049844889416,0.9998417091628647,0.0,0.00038550605837596566,0.0024053312499238053,MEETS_TARGET
75000,4,46,3750,5.0,401755.8258000008,46067.48280000011,1384.3964000006963,290.20288249795993,0.9997628859811356,0.0,0.00036712270044831036,0.0022596619994338534,MEETS_TARGET
100000,0,42,5000,5.0,824497.8331000002,92099.3626999998,2600.198199999795,317.0903791488145,0.9998914985600752,0.0,0.00024842095152461904,0.0015884064387055687,MEETS_TARGET
100000,1,43,5000,5.0,820437.4281999998,87613.83120000028,2522.015999999894,325.3101598879762,0.999899167120208,0.0,0.000453976187657574,0.0030468679667159247,MEETS_TARGET
100000,2,44,5000,5.0,830540.9163999993,88938.32330000077,2426.9893999990018,342.2103600453883,0.9998809866660748,0.0,0.0004883397933174562,0.002985411100402112,MEETS_TARGET
100000,3,45,5000,5.0,801513.9306000001,88659.15499999937,2539.9802000010823,315.55912546076485,0.9998848250656288,0.0,0.00028539761518635065,0.0018377825905420537,MEETS_TARGET
100000,4,46,5000,5.0,804966.4548000001,88569.75820000116,2499.3838999998843,322.06595185318963,0.9998706696099637,0.0,0.00029246034461601343,0.0018462822968207625,MEETS_TARGET
