N,failure_rate,run_idx,lcc_size,n_removed,closeness_seed,closeness_score,degree_seed,degree_score,same_node,steps_closeness,steps_degree,closeness_censored,degree_censored,closeness_faster
1000,0.05,0,949,50,0,0.39254658385093166,0,82,True,5,6,False,False,True
1000,0.05,1,950,50,0,0.3929606625258799,0,82,True,5,6,False,False,True
1000,0.05,2,950,50,1,0.3967391304347826,0,82,False,6,5,False,False,False
1000,0.05,3,950,50,1,0.3945945945945946,0,79,False,6,6,False,False,False
1000,0.05,4,950,50,0,0.3871889024887801,0,80,True,7,6,False,False,False
1000,0.05,5,950,50,1,0.39823751573646665,0,81,False,6,5,False,False,False
1000,0.05,6,950,50,1,0.3873469387755102,0,79,False,6,6,False,False,False
1000,0.05,7,948,50,1,0.3939267886855241,0,80,False,6,6,False,False,False
1000,0.05,8,950,50,1,0.3957464553794829,0,82,False,6,7,False,False,True
1000,0.05,9,950,50,1,0.39134020618556703,0,77,False,5,5,False,False,False
1000,0.05,10,948,50,1,0.3967322999581064,0,80,False,6,5,False,False,False
1000,0.05,11,947,50,1,0.39367457344985435,0,82,False,6,5,False,False,False
1000,0.05,12,946,50,0,0.3919535462463708,0,80,True,5,6,False,False,True
1000,0.05,13,949,50,1,0.3976510067114094,0,82,False,5,6,False,False,True
1000,0.05,14,950,50,1,0.394923012900541,0,83,False,6,6,False,False,False
1000,0.05,15,948,50,1,0.3972315436241611,0,81,False,5,5,False,False,False
1000,0.05,16,949,50,0,0.39270919635459817,0,81,True,6,6,False,False,False
1000,0.05,17,950,50,1,0.39757017176372017,0,81,False,6,6,False,False,False
1000,0.05,18,948,50,1,0.39474781158816175,0,81,False,6,7,False,False,True
1000,0.05,19,950,50,1,0.39707112970711295,0,82,False,5,6,False,False,True
1000,0.05,20,948,50,0,0.3901936547177586,0,82,True,5,5,False,False,False
1000,0.05,21,949,50,1,0.3969849246231156,0,81,False,5,5,False,False,False
1000,0.05,22,949,50,1,0.3963210702341137,0,83,False,5,5,False,False,False
1000,0.05,23,949,50,0,0.3716189729517836,0,80,True,8,8,False,False,False
1000,0.05,24,948,50,1,0.3960685905478879,0,74,False,5,6,False,False,True
1000,0.05,25,947,50,0,0.38565022421524664,0,78,True,6,6,False,False,False
1000,0.05,26,944,50,0,0.3750994431185362,0,79,True,7,8,False,False,True
1000,0.05,27,949,50,1,0.39385126713751556,0,80,False,6,7,False,False,True
1000,0.05,28,949,50,1,0.3954943679599499,0,81,False,7,6,False,False,False
1000,0.05,29,949,50,0,0.3899629781982723,0,80,True,6,5,False,False,False
1000,0.05,30,949,50,1,0.3969849246231156,0,78,False,7,7,False,False,False
1000,0.05,31,949,50,0,0.39368770764119604,0,83,True,6,5,False,False,False
1000,0.05,32,950,50,1,0.396905060644082,0,82,False,5,6,False,False,True
1000,0.05,33,949,50,0,0.3923841059602649,0,82,True,7,6,False,False,False
1000,0.05,34,949,50,1,0.39385126713751556,0,80,False,6,6,False,False,False
1000,0.05,35,947,50,1,0.39581589958158997,0,78,False,5,6,False,False,True
1000,0.05,36,950,50,1,0.39344941956882257,0,80,False,7,6,False,False,False
1000,0.05,37,950,50,1,0.3939393939393939,0,79,False,6,6,False,False,False
1000,0.05,38,950,50,1,0.39525197834235737,0,83,False,6,5,False,False,False
1000,0.05,39,949,50,0,0.37738853503184716,0,76,True,6,6,False,False,False
1000,0.05,40,948,50,1,0.38763814981580025,0,79,False,6,6,False,False,False
1000,0.05,41,950,50,0,0.3799039231385108,0,79,True,6,6,False,False,False
1000,0.05,42,948,50,0,0.3892314015618578,0,80,True,6,6,False,False,False
1000,0.05,43,946,50,1,0.39606035205364626,0,80,False,6,6,False,False,False
1000,0.05,44,947,50,1,0.39548494983277593,0,81,False,5,5,False,False,False
1000,0.05,45,945,50,0,0.372533543804262,0,77,True,10,7,False,False,False
1000,0.05,46,947,50,1,0.39664570230607965,0,81,False,6,6,False,False,False
1000,0.05,47,948,50,1,0.3982338099243061,0,81,False,7,6,False,False,False
1000,0.05,48,948,50,1,0.3985690235690236,0,83,False,6,6,False,False,False
1000,0.05,49,948,50,1,0.38732106339468303,0,78,False,7,6,False,False,False
1000,0.1,0,895,100,0,0.38869565217391305,0,79,True,6,7,False,False,True
1000,0.1,1,895,100,0,0.38369098712446353,0,75,True,6,9,False,False,True
1000,0.1,2,900,100,1,0.39533861037818824,0,80,False,6,5,False,False,False
1000,0.1,3,898,100,1,0.39238845144356954,0,76,False,6,6,False,False,False
1000,0.1,4,898,100,0,0.37720773759461734,0,77,True,9,8,False,False,False
1000,0.1,5,898,100,1,0.3979591836734694,0,78,False,6,5,False,False,False
1000,0.1,6,895,100,1,0.38718059766132523,0,76,False,6,5,False,False,False
1000,0.1,7,897,100,1,0.39075447012647185,0,77,False,6,6,False,False,False
1000,0.1,8,898,100,1,0.3898305084745763,0,77,False,6,9,False,False,True
1000,0.1,9,896,100,1,0.38412017167381973,0,72,False,7,6,False,False,False
1000,0.1,10,893,100,1,0.3903719912472648,0,72,False,501,6,True,False,False
1000,0.1,11,894,100,1,0.39270008795074757,0,76,False,6,6,False,False,False
1000,0.1,12,892,100,0,0.38604852686308494,0,76,True,7,7,False,False,False
1000,0.1,13,893,100,1,0.39295154185022024,0,78,False,6,7,False,False,True
1000,0.1,14,898,100,1,0.3915320820602357,0,80,False,7,6,False,False,False
1000,0.1,15,898,100,0,0.38847986141186663,0,77,True,5,5,False,False,False
1000,0.1,16,897,100,0,0.38737570255079984,0,79,True,6,8,False,False,True
1000,0.1,17,894,100,1,0.3967125721901377,0,73,False,6,6,False,False,False
1000,0.1,18,894,100,0,0.37053941908713695,0,75,True,7,8,False,False,True
1000,0.1,19,895,100,0,0.3827054794520548,0,73,True,6,7,False,False,True
1000,0.1,20,897,100,0,0.38922675933970463,0,80,True,5,5,False,False,False
1000,0.1,21,895,100,1,0.39383259911894275,0,75,False,5,6,False,False,True
1000,0.1,22,897,100,1,0.39263803680981596,0,77,False,6,6,False,False,False
1000,0.1,23,899,100,0,0.36728016359918203,0,76,True,10,9,False,False,False
1000,0.1,24,895,100,1,0.3915900131406045,0,72,False,6,6,False,False,False
1000,0.1,25,893,100,1,0.38005965061781,0,73,False,7,7,False,False,False
1000,0.1,26,888,100,0,0.36804979253112036,0,75,True,7,8,False,False,True
1000,0.1,27,896,100,1,0.39202803328953134,0,76,False,6,7,False,False,True
1000,0.1,28,898,100,1,0.39376646180860403,0,76,False,7,6,False,False,False
1000,0.1,29,894,100,0,0.3914949583516002,0,79,True,6,5,False,False,False
1000,0.1,30,896,100,1,0.3937527496700396,0,73,False,7,6,False,False,False
1000,0.1,31,897,100,0,0.3744254074383619,0,79,True,8,7,False,False,False
1000,0.1,32,896,100,1,0.38862353452019105,0,77,False,7,7,False,False,False
1000,0.1,33,897,100,0,0.39281017097764137,0,81,True,7,6,False,False,False
1000,0.1,34,897,100,0,0.3863734368262182,0,77,True,6,7,False,False,True
1000,0.1,35,894,100,1,0.39270008795074757,0,75,False,6,7,False,False,True
1000,0.1,36,895,100,1,0.38886472379295345,0,77,False,6,7,False,False,True
1000,0.1,37,895,100,1,0.3895424836601307,0,77,False,7,7,False,False,False
1000,0.1,38,897,100,1,0.3931548924967091,0,76,False,7,5,False,False,False
1000,0.1,39,893,100,4,0.3572286744092911,4,63,True,10,9,False,False,False
1000,0.1,40,895,100,1,0.3881893182805037,0,76,False,6,7,False,False,True
1000,0.1,41,893,100,0,0.37012448132780085,0,76,True,7,7,False,False,False
1000,0.1,42,890,100,0,0.38368580060422963,0,74,True,7,7,False,False,False
1000,0.1,43,889,100,1,0.3948421520675856,1,75,True,6,7,False,False,True
1000,0.1,44,896,100,1,0.39082969432314413,0,79,False,6,6,False,False,False
1000,0.1,45,894,100,0,0.36241883116883117,0,68,True,12,9,False,False,False
1000,0.1,46,894,100,1,0.39426048565121413,0,74,False,7,6,False,False,False
1000,0.1,47,894,100,1,0.3877551020408163,0,77,False,7,7,False,False,False
1000,0.1,48,897,100,1,0.3882149046793761,0,76,False,7,6,False,False,False
1000,0.1,49,887,100,4,0.37305263157894736,1,65,False,12,9,False,False,False
1000,0.2,0,786,200,1,0.38386308068459657,0,74,False,8,9,False,False,True
1000,0.2,1,781,200,0,0.3648269410664172,0,64,True,501,501,True,True,False
1000,0.2,2,788,200,0,0.37494044783230107,0,71,True,8,501,False,True,True
1000,0.2,3,785,200,1,0.38985579313774243,0,67,False,6,9,False,False,True
1000,0.2,4,778,200,1,0.37106017191977075,0,69,False,501,501,True,True,False
1000,0.2,5,789,200,1,0.3868433971526755,0,69,False,7,7,False,False,False
1000,0.2,6,770,200,0,0.3581741965533302,0,67,True,501,8,True,False,False
1000,0.2,7,783,200,1,0.37238095238095237,1,60,True,501,501,True,True,False
1000,0.2,8,784,200,1,0.3830724070450098,0,71,False,7,501,False,True,True
1000,0.2,9,783,200,1,0.3770491803278688,1,60,True,501,501,True,True,False
1000,0.2,10,771,200,1,0.37506088650754993,1,65,True,501,501,True,True,False
1000,0.2,11,779,200,0,0.3625349487418453,0,69,True,501,8,True,False,False
1000,0.2,12,774,200,0,0.3550757923748277,0,68,True,501,501,True,True,False
1000,0.2,13,766,200,0,0.3851963746223565,0,74,True,7,501,False,True,True
1000,0.2,14,777,200,4,0.34581105169340465,4,55,True,501,501,True,True,False
1000,0.2,15,791,200,1,0.38330907326540514,0,66,False,5,10,False,False,True
1000,0.2,16,784,200,0,0.37716763005780346,0,68,True,8,501,False,True,True
1000,0.2,17,788,200,1,0.38921859545004944,1,68,True,12,8,False,False,False
1000,0.2,18,778,200,0,0.3557692307692308,0,67,True,501,501,True,True,False
1000,0.2,19,777,200,1,0.34673815907059874,1,58,True,501,501,True,True,False
1000,0.2,20,776,200,0,0.3758486905916586,0,72,True,8,8,False,False,False
1000,0.2,21,786,200,0,0.3518601523980278,0,69,True,7,501,False,True,True
1000,0.2,22,785,200,1,0.3848797250859107,0,71,False,6,6,False,False,False
1000,0.2,23,773,200,4,0.3269800931808556,4,58,True,501,501,True,True,False
1000,0.2,24,776,200,0,0.34925642181162686,0,65,True,501,501,True,True,False
1000,0.2,25,783,200,0,0.38016528925619836,0,69,True,7,501,False,True,True
1000,0.2,26,774,200,0,0.36565752128666035,0,71,True,501,501,True,True,False
1000,0.2,27,780,200,0,0.37560270009643204,0,68,True,501,501,True,True,False
1000,0.2,28,785,200,1,0.3760191846522782,0,66,False,501,501,True,True,False
1000,0.2,29,786,200,0,0.3673373888628919,0,71,True,7,501,False,True,True
1000,0.2,30,782,200,1,0.37839147286821706,0,64,False,501,15,True,False,False
1000,0.2,31,776,200,0,0.3530751708428246,0,68,True,501,501,True,True,False
1000,0.2,32,777,200,1,0.38001958863858964,0,70,False,7,7,False,False,False
1000,0.2,33,786,200,1,0.35714285714285715,1,66,True,501,501,True,True,False
1000,0.2,34,781,200,1,0.3584558823529412,4,57,False,501,501,True,True,False
1000,0.2,35,788,200,1,0.38979692917285785,0,67,False,501,10,True,False,False
1000,0.2,36,773,200,1,0.3833167825223436,0,64,False,501,501,True,True,False
1000,0.2,37,788,200,1,0.3772770853307766,0,70,False,10,501,False,True,True
1000,0.2,38,793,200,0,0.38558909444985395,0,72,True,9,6,False,False,False
1000,0.2,39,767,200,16,0.27019400352733686,16,29,True,501,501,True,True,False
1000,0.2,40,783,200,1,0.3818359375,0,63,False,7,8,False,False,True
1000,0.2,41,779,200,0,0.3334762108872696,0,60,True,501,501,True,True,False
1000,0.2,42,776,200,0,0.37241710716001925,0,67,True,501,8,True,False,False
1000,0.2,43,772,200,0,0.3596082089552239,0,66,True,501,501,True,True,False
1000,0.2,44,784,200,0,0.3737470167064439,0,69,True,501,501,True,True,False
1000,0.2,45,785,200,0,0.34720992028343667,0,61,True,501,501,True,True,False
1000,0.2,46,775,200,1,0.3809055118110236,0,66,False,501,9,True,False,False
1000,0.2,47,785,200,1,0.3850687622789784,0,62,False,8,501,False,True,True
1000,0.2,48,782,200,1,0.37949465500485907,0,67,False,10,9,False,False,False
1000,0.2,49,763,200,1,0.36337625178826893,1,58,True,501,501,True,True,False
5000,0.05,0,4746,250,3,0.3241784518685523,6,129,False,7,7,False,False,False
5000,0.05,1,4745,250,3,0.3272626931567329,3,132,True,7,6,False,False,False
5000,0.05,2,4747,250,3,0.32616315029894855,6,133,False,6,7,False,False,True
5000,0.05,3,4746,250,3,0.3270158511371468,6,130,False,7,7,False,False,False
5000,0.05,4,4742,250,3,0.32546165991624904,3,127,True,7,7,False,False,False
5000,0.05,5,4746,250,3,0.3255351262349067,6,131,False,7,7,False,False,False
5000,0.05,6,4742,250,3,0.32328673712921924,6,132,False,7,7,False,False,False
5000,0.05,7,4742,250,6,0.31870126378058616,6,132,True,7,7,False,False,False
5000,0.05,8,4748,250,3,0.32473662607743875,6,133,False,7,8,False,False,True
5000,0.05,9,4741,250,3,0.32626651982378857,3,126,True,7,7,False,False,False
5000,0.05,10,4739,250,3,0.3272325436839561,3,132,True,7,6,False,False,False
5000,0.05,11,4743,250,3,0.32757667864050843,6,130,False,7,6,False,False,False
5000,0.05,12,4746,250,3,0.32224108658743633,6,129,False,6,7,False,False,True
5000,0.05,13,4744,250,3,0.32245563940444627,6,135,False,6,7,False,False,True
5000,0.05,14,4743,250,3,0.32553030823093293,3,129,True,7,8,False,False,True
5000,0.05,15,4744,250,3,0.3248407643312102,6,131,False,6,7,False,False,True
5000,0.05,16,4747,250,3,0.32526900143924337,6,135,False,7,7,False,False,False
5000,0.05,17,4742,250,3,0.32550635084105733,3,128,True,7,7,False,False,False
5000,0.05,18,4744,250,3,0.31823671497584544,3,131,True,7,7,False,False,False
5000,0.05,19,4739,250,3,0.3245650089053295,6,130,False,6,7,False,False,True
5000,0.05,20,4742,250,3,0.32649266579436675,3,129,True,6,6,False,False,False
5000,0.05,21,4740,250,3,0.32249064307587616,6,130,False,7,7,False,False,False
5000,0.05,22,4748,250,3,0.3263888888888889,6,131,False,6,7,False,False,True
5000,0.05,23,4745,250,3,0.3226113566814009,6,130,False,7,8,False,False,True
5000,0.05,24,4741,250,3,0.3266487492247261,3,131,True,6,7,False,False,True
5000,0.05,25,4742,250,3,0.32425962656453045,6,130,False,7,7,False,False,False
5000,0.05,26,4745,250,3,0.3247091033538672,6,129,False,7,7,False,False,False
5000,0.05,27,4745,250,3,0.3264969029593944,3,133,True,7,7,False,False,False
5000,0.05,28,4738,250,1,0.321719641401793,6,132,False,7,7,False,False,False
5000,0.05,29,4743,250,3,0.32626943718178064,6,133,False,6,6,False,False,False
5000,0.05,30,4742,250,3,0.32548400384456955,6,133,False,7,7,False,False,False
5000,0.05,31,4746,250,3,0.3265657260839642,6,130,False,7,7,False,False,False
5000,0.05,32,4744,250,3,0.32669789227166274,6,131,False,6,7,False,False,True
5000,0.05,33,4739,250,3,0.321743854407171,6,128,False,7,6,False,False,False
5000,0.05,34,4747,250,3,0.3262976968030251,3,128,True,6,7,False,False,True
5000,0.05,35,4749,250,3,0.3237419882721942,6,132,False,7,8,False,False,True
